 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/e_state_reg_0_  (HS65_GS_DFPSQX9)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_0_  (HS65_GS_DFPRQX4)
       8                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                6(0/6)   25.00%        /frontend_0/pc_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/i_state_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/i_state_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_src_bin_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_src_bin_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_src_bin_reg_1_  (HS65_GS_DFPRQX4)
       8                2(2/0)                1(0/1)             0(0/0/0/0/0)       0                5(1/4)   25.00%        /frontend_0/inst_so_reg_7_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dest_bin_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dest_bin_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dest_bin_reg_0_  (HS65_GS_DFPRQX4)
       8                2(2/0)                1(0/1)             0(0/0/0/0/0)       0                5(1/4)   25.00%        /frontend_0/inst_so_reg_6_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_10_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_type_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_type_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_src_bin_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_jmp_bin_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_jmp_bin_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dest_bin_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_jmp_bin_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_11_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_ad_reg_0_  (HS65_GS_DFPRQX4)
